0	8	  5991	1550347379	1550445302	1550445303	
1	source::Perfmon:CPU Load	  1891	1550433580	1550445296	1550445297	
2	source::Perfmon:Network Interface	  1911	1550433580	1550445297	1550445297	
3	source::Perfmon:Available Memory	  1034	1550433580	1550445296	1550445297	
4	source::WinEventLog:Security	179	1550433829	1550445302	1550445302	
5	source::WinEventLog:System	 76	1550433830	1550445302	1550445303	
6	source::WinEventLog:Application	704	1550433841	1550445302	1550445302	
7	source::Perfmon:Free Disk Space	      6	1550436680	1550443880	1550443880	
8	source::/tmp/DHCP.txt	190	1550347379	1550437023	1550441114	
